name,gender,probability,n
Ellinora,female,1,54
Elli-Nora,female,1,10
Ellinore,female,1,17
Elliot,male,1,662
Elliott,male,1,43
Ellis,female,0.551724137931034,29
Elli-Sofia,female,1,26
Elly,female,1,97
Elma,female,1,2618
Elmar,male,1,62
Elmedina,female,1,10
Elmer,male,1,806
Elmeri,male,1,8133
Elmi,female,0.916666666666667,324
Elmiina,female,1,540
Elmiira,female,1,52
Elmina,female,1,20
Elmira,female,1,33
Elmo,male,1,1548
Elna,female,1,1016
Elna-Maria,female,1,12
Elo,male,0.970326409495549,337
Elof,male,1,292
Eloisa,female,1,62
Eloise,female,1,34
Elon,male,1,39
Elona,female,1,25
Eloni,female,1,26
Elouise,female,1,11
Elpi,female,1,14
Elsa,female,1,10076
Elsa-Maija,female,1,17
Elsa-Maria,female,1,51
Elsayed,male,1,19
Elsbet,female,1,18
Elsbeth,female,1,44
Else,female,1,1522
Else-Britt,female,1,16
Else-Mai,female,1,14
Else-Maj,female,1,507
Else-May,female,1,44
Elsi,female,1,1661
Elsie,female,1,162
Elsiina,female,1,14
Elsi-Maj,female,1,10
Elsmaj,female,1,17
Els-Maj,female,1,36
Elssi,female,1,10
Elton,male,1,87
Elva,female,1,14
Elvi,female,1,5403
Elvia,female,1,27
Elviina,female,1,29
Elviira,female,1,3590
Elvin,male,1,69
Elvina,female,1,50
Elvine,female,1,13
Elvira,female,1,1374
Elvis,male,1,248
Elvy,female,1,13
Elwa,female,1,16
Elwiira,female,1,14
Elwin,male,1,12
Elwira,female,1,15
Elyas,male,1,14
Elza,female,1,28
Elzbieta,female,1,18
Ema,female,1,13
Emad,male,1,18
Eman,female,1,12
Emanuel,male,1,997
Emanuela,female,1,12
Emanuele,male,1,11
Embla,female,1,14
Emeka,male,1,17
Emel,male,0.5,24
Emeli,female,1,12
Emelia,female,1,252
Emelie,female,1,735
Emeliina,female,1,131
Emelina,female,1,48
Emeline,female,1,20
Emely,female,1,20
Emerentia,female,1,93
Emerik,male,1,137
Emerson,male,1,10
Emi,female,1,27
Emiel,male,1,15
Emiilia,female,1,117
Emiina,female,1,14
Emil,male,1,15434
Émil,male,1,11
Emila,female,1,21
Emile,male,1,44
Emili,female,1,106
Emilia,female,1,64150
Emilian,male,1,11
Emiliana,female,1,11
Emiliano,male,1,24
Emilie,female,1,580
Emilié,female,1,10
Emilii,female,1,19
Emiliina,female,1,27
Emilija,female,1,33
Emilio,male,1,232
Emilja,female,1,105
Emilla,female,1,51
Emily,female,1,674
Emin,male,1,52
Emina,female,1,76
Emine,female,1,83
Emir,male,1,97
Emira,female,1,14
Emma,female,1,15408
Emma-Julia,female,1,17
Emmakaisa,female,1,11
Emma-Kaisa,female,1,39
Emma-Karoliina,female,1,13
Emmaleena,female,1,23
Emma-Leena,female,1,37
Emmaliina,female,1,58
Emma-Liina,female,1,24
Emmaliisa,female,1,10
Emma-Liisa,female,1,36
Emmalotta,female,1,17
Emma-Lotta,female,1,89
Emma-Maria,female,1,44
Emma-Noora,female,1,13
Emmanuel,male,1,221
Emmanuelle,female,1,23
Emmanuil,male,1,12
Emma-Reetta,female,1,15
Emma-Riikka,female,1,20
Emma-Roosa,female,1,11
Emma-Sofia,female,1,101
Emmastiina,female,1,18
Emmeli,female,1,11
Emmelie,female,1,39
Emmeliina,female,1,12
Emmeline,female,1,12
Emmett,male,1,11
Emmi,female,1,9677
Emmie,female,1,28
Emmiina,female,1,596
Emmi-Julia,female,1,22
Emmi-Kaisa,female,1,29
Emmi-Karoliina,female,1,11
Emmi-Leena,female,1,18
Emmi-Liina,female,1,12
Emmilotta,female,1,18
Emmi-Lotta,female,1,91
Emmi-Maria,female,1,55
Emmi-Noora,female,1,26
Emmi-Riikka,female,1,18
Emmi-Sofia,female,1,67
Emmy,female,1,227
Emppu,male,1,111
Emrah,male,1,20
Emran,male,1,12
Emre,male,1,127
Emriikka,female,1,13
Emrik,male,1,12
Ena,female,1,16
Enar,male,1,11
Endrit,male,1,10
Ene,female,1,30
Enea,female,1,12
Ener,male,1,10
Enes,male,1,32
Engelbert,male,1,140
Engelbrekt,male,1,42
Engeliina,female,1,13
Engin,male,1,11
Engla,female,1,103
Enia,female,1,42
Enid,female,1,25
Enis,male,1,26
Enisa,female,1,13
Enja,female,1,126
Enna,female,1,1037
Enne,female,1,152
Enneli,female,1,38
Enne-Liisa,female,1,27
Enni,female,1,5090
Enniina,female,1,30
Ennika,female,1,18
Enni-Lotta,female,1,13
Enni-Maija,female,1,10
Enni-Maria,female,1,34
Ennio,male,1,11
Enni-Sofia,female,1,17
Enny,female,1,19
Enok,male,1,102
Enrica,female,1,19
Enrico,male,1,63
Enrik,male,1,13
Enrika,female,1,20
Enrique,male,1,76
Ensar,male,1,14
Ensi,female,0.611111111111111,216
Ensio,male,1,31363
Ensiö,male,1,58
Enso,male,1,20
Ensti,male,1,25
Enver,male,1,33
Enya,female,1,75
Enzio,male,1,30
Enzo,male,1,71
Eppu,male,0.982238010657194,563
Erasmus,male,1,51
Erda,female,1,11
Erdal,male,1,15
Erdem,male,1,10
Ere,male,1,76
Eren,male,1,37
Erfan,male,1,15
Erhan,male,1,10
Erhard,male,1,65
Eric,male,1,1855
Erica,female,1,1915
Erich,male,1,87
Erick,male,1,32
Eriika,female,1,620
Eriikka,female,1,337
Erik,male,1,24943
Erika,female,1,9227
Erikka,female,1,34
Eriksdotter,female,1,16
Erin,female,1,1157
Erina,female,1,38
Erita,female,1,10
Erja,female,1,5817
Erja-Leena,female,1,38
Erja-Liisa,female,1,59
Erja-Riitta,female,1,40
Erjo,male,1,10
Erkan,male,1,31
Erkinpoika,male,1,136
Erkintytär,female,1,35
Erkka,male,1,1046
Erkka-Pekka,male,1,15
Erkki,male,1,37017
Erkki-Juhani,male,1,19
Erkki-Jussi,male,1,14
Erkki-Mikael,male,1,26
Erkki-Pekka,male,1,15
Erkko,male,1,387
Erko,male,1,17
Erla,female,1,10
Erland,male,1,629
Erling,male,1,123
Ermo,male,1,78
Erna,female,1,401
Erne,male,1,10
Ernest,male,1,232
Ernesti,male,1,342
Ernestine,female,1,22
Ernesto,male,1,108
Ernfrid,male,1,111
Erni,male,1,11
Erno,male,1,1672
Ernst,male,1,637
Erol,male,1,41
Eros,male,1,15
Erpo,male,1,58
Ertta,female,1,17
Erva,female,1,10
Ervin,male,1,37
Ervo,male,1,60
Erwin,male,1,44
Erza,female,1,16
Esa,male,1,20598
Esaias,male,1,482
Esajas,male,1,21
Esa-Jussi,male,1,13
Esam,male,1,13
Esamatti,male,1,14
Esa-Matti,male,1,160
Esanpoika,male,1,111
Esantytär,female,1,36
Esapekka,male,1,19
Esa-Pekka,male,1,321
Esa-Petri,male,1,13
Esa-Petteri,male,1,23
Esa-Tapio,male,1,13
Esbjörn,male,1,10
Esikko,female,1,23
Eskeli,male,1,21
Eskil,male,1,274
Esko,male,1,20480
Esko-Juhani,male,1,11
Eskonpoika,male,1,65
Eskontytär,female,1,19
Esma,female,1,42
Esmail,male,1,11
Esme,female,1,37
Esmeralda,female,1,182
Espen,male,1,26
Esperanza,female,1,23
Esra,female,0.779220779220779,77
Essi,female,1,7011
Essie,female,1,10
Essi-Emilia,female,1,16
Essiina,female,1,15
Essi-Lotta,female,1,14
Essi-Maria,female,1,52
Esteban,male,1,36
Estel,female,1,13
Estela,female,1,10
Estella,female,1,196
Estelle,female,1,264
Ester,female,1,5407
Esteri,female,1,7882
Esteriina,female,1,42
Esther,female,1,286
Esti,female,1,23
Estrid,female,1,175
Esu,male,1,18
Eszter,female,1,11
Etel,female,1,316
Ethan,male,1,109
Ethel,female,1,366
Etienne,male,1,20
Etna,female,1,19
Etta,female,1,79
Etti,female,1,70
Etvi,male,1,13
Eudokia,female,1,14
Eufemia,female,1,158
Eufrosyne,female,1,105
Eugen,male,1,585
Eugén,male,1,66
Eugene,male,1,44
Eugenia,female,1,106
Eugenie,female,1,36
Eugénie,female,1,10
Eugenio,male,1,12
Eulaalia,female,1,14
Eulalia,female,1,25
Eunice,female,1,30
Eva,female,1,6051
Eva-Britt,female,1,14
Eva-Christina,female,1,15
Eva-Helena,female,1,13
Eva-Kaarina,female,1,36
Eva-Kaisa,female,1,11
Eva-Kristina,female,1,13
Evald,male,1,614
Eva-Leena,female,1,14
Eva-Lena,female,1,33
Eva-Liisa,female,1,170
Eva-Lisa,female,1,73
Eva-Lotta,female,1,62
Eva-Maija,female,1,39
Eva-Maj,female,1,11
Eva-Mari,female,1,22
Evamaria,female,1,18
Eva-Maria,female,1,321
Eva-Marie,female,1,49
Eva-Marja,female,1,15
Evan,male,1,102
Evangelia,female,1,19
Evangelina,female,1,11
Evangeline,female,1,21
Evangelos,male,1,22
Evanna,female,1,10
Eva-Riitta,female,1,17
Eva-Sofia,female,1,10
Evastiina,female,1,20
Evastina,female,1,15
Eva-Stina,female,1,74
Eve,female,1,542
Eveli,female,1,12
Evelia,female,1,108
Eveliina,female,1,25918
Evelin,female,1,182
Evelina,female,1,1032
Eveline,female,1,80
Evella,female,1,17
Evely,female,1,11
Evelyn,female,1,288
Evelyne,female,1,13
Even,male,1,10
Evena,female,1,44
Everett,male,1,10
Everi,male,1,10
Evert,male,1,2099
Evertti,male,1,24
Evgeni,male,1,42
Evgenia,female,1,108
Evgenija,female,1,20
Evgeniya,female,1,13
Evgeny,male,1,86
Evgueni,male,1,24
Evguenia,female,1,22
Evi,female,1,312
Evia,female,1,22
Evian,female,1,14
Evianna,female,1,16
Evie,female,1,23
Evilda,female,1,11
Evilla,female,1,10
Evin,female,1,44
Evind,male,1,11
Evita,female,1,331
Evy,female,1,87
Ewa,female,1,120
Ewald,male,1,35
Ewan,male,1,20
Ewelina,female,1,11
Ewert,male,1,37
Exenia,female,1,18
Eyal,male,1,11
Eyolf,male,1,25
Eyvind,male,1,10
Eyvor,female,1,37
Ezekiel,male,1,18
Ezra,male,1,26
Faadumo,female,1,19
Fabian,male,1,553
Fabienne,female,1,10
Fabio,male,1,26
Fabiola,female,1,11
Fadel,male,1,15
Fadhil,male,1,10
Fadi,male,1,24
Fadil,male,1,22
Faduma,female,1,21
Fadumo,female,1,131
Fahad,male,1,19
Fahim,male,1,18
Faik,male,1,10
Faina,female,1,51
Faisa,female,1,29
Faisal,male,0.757894736842105,95
Faith,female,1,40
Faiza,female,1,18
Fakher,female,1,10
Falah,male,1,12
Familia,female,1,13
Fang,female,1,10
Fanni,female,1,2334
Fannie,female,1,11
Fanniina,female,1,15
Fanni-Maria,female,1,10
Fanni-Sofia,female,1,17
Fanny,female,1,2759
Fanny-Maria,female,1,18
Farah,female,0.567415730337079,178
Farahnaz,female,1,10
Fardowsa,female,1,33
Fares,male,1,10
Farhad,male,1,27
Farhan,male,1,33
Farhia,female,1,33
Farhio,female,1,12
Farhiya,female,1,11
Farhiyo,female,1,18
Fariba,female,1,17
Farid,male,1,44
Farida,female,1,31
Farina,female,1,22
Faris,male,1,15
Farouk,male,1,11
Fartun,female,1,20
Faruk,male,1,32
Farzad,male,1,10
Fatah,male,1,11
Fatema,female,1,19
Fatemeh,female,1,29
Fathi,female,0.541666666666667,24
Fatih,male,1,34
Fatima,female,1,325
Fatimah,female,1,11
Fatime,female,1,16
Fatma,female,1,87
Fatmir,male,1,22
Fatmire,female,1,16
Faton,male,1,13
Fatou,female,1,34
Fatuma,female,1,11
Fawzi,male,1,10
Fay,female,1,31
Faye,female,1,20
Faysal,male,1,27
Febe,female,1,24
Federica,female,1,16
Federico,male,1,40
Fedja,male,1,18
Fedor,male,1,24
Feeli,male,1,37
Feelia,female,1,13
Feeliks,male,1,72
Feelix,male,1,22
Feeti,male,1,10
Feetu,male,1,58
Fehmi,male,1,10
Fei,female,1,22
Feija,male,1,44
Felia,female,1,10
Felice,female,1,12
Felicia,female,1,936
Felicitas,female,1,10
Felicity,female,1,12
Feliks,male,1,250
Felipe,male,1,68
Felix,male,1,1689
Félix,male,1,17
Fen,female,1,12
Fenix,male,1,16
Feodor,male,1,92
Feodosia,female,1,13
Ferdinand,male,1,648
Ferenc,male,1,19
Fereshteh,female,1,14
Ferhat,male,1,24
Feride,female,1,20
Fernanda,female,1,30
Fernando,male,1,111
Fevzi,male,1,10
Fia,female,1,220
Fidel,male,1,20
Fiia,female,1,496
Fiina,female,1,122
Fiinu,female,1,48
Fikret,male,1,15
Filemon,male,1,161
Filip,male,1,1017
Filipe,male,1,14
Filiph,male,1,12
Filipp,male,1,40
Filippa,female,1,325
Filippo,male,1,28
Filippus,male,1,30
Filiz,female,1,13
Filomena,female,1,12
Filsan,female,1,15
Fina,female,1,14
Fingal,male,1,18
Finlay,male,1,15
Finley,male,1,14
Finn,male,1,158
Fiona,female,1,775
Fionn,male,1,19
Firas,male,1,18
Firat,male,1,16
Fitim,male,1,12
Fitore,female,1,13
Fjalar,male,1,294
Fjodor,male,1,10
Flavio,male,1,10
Flego,male,1,10
Floora,female,1,21
Flora,female,1,74
Florence,female,1,98
Florencia,female,1,12
Florent,male,1,11
Florentin,male,1,27
Florentina,female,1,23
Florian,male,1,74
Floyd,male,1,10
Folke,male,1,413
Folkern,male,1,13
Fouad,male,1,38
Fowsia,female,1,12
Fox,male,1,12
Frances,female,1,74
Francesca,female,1,148
Francesco,male,1,93
Francilia,female,1,11
Francine,female,1,18
Francis,male,1,150
Francisca,female,1,36
Francisco,male,1,116
Franciska,female,1,36
Franck,male,1,12
Franco,male,1,30
Francois,male,1,27
François,male,1,21
Francoise,female,1,13
Françoise,female,1,10
Frank,male,1,687
Franklin,male,1,27
Frans,male,1,3382
Frans-Emil,male,1,24
Fransesca,female,1,11
Franseska,female,1,10
Fransiina,female,1,116
Fransilia,female,1,42
Fransilja,female,1,17
Fransina,female,1,34
Fransisca,female,1,15
Fransiska,female,1,41
Franz,male,1,145
Franziska,female,1,58
Fred,male,1,210
Freddie,male,1,25
Freddy,male,1,45
Frederic,male,1,19
Frédéric,male,1,22
Frederick,male,1,89
Frederik,male,1,89
Frederika,female,1,38
Fredi,male,1,10
Fredric,male,1,86
Fredrica,female,1,55
Fredrick,male,1,40
Fredriika,female,1,120
Fredriikka,female,1,99
Fredrik,male,1,5067
Fredrika,female,1,1199
Fredrikki,male,1,10
Fredriksdotter,female,1,20
Freia,female,1,15
Freija,female,1,57
Frej,male,1,258
Freja,female,1,246
Frejvid,male,1,39
Frey,male,1,43
Freya,female,1,119
Freyja,female,1,20
Frida,female,1,1598
Frida-Maria,female,1,10
Fride,male,1,31
Frideborg,female,1,44
Fridolf,male,1,146
Fridolin,male,1,13
Frieda,female,1,13
Friederike,female,1,10
Friedrich,male,1,84
Friia,female,1,14
Friida,female,1,106
Frithiof,male,1,51
Fritiof,male,1,91
Fritjof,male,1,56
Frits,male,1,12
Fritz,male,1,87
Fu,female,1,16
Fuaad,male,1,11
Fuad,male,0.705882352941177,68
Fuat,male,1,10
Furkan,male,1,23
Gaabriel,male,1,31
Gabor,male,1,10
Gábor,male,1,12
Gabriel,male,1,2916
Gabriela,female,1,340
Gabriele,female,0.526315789473684,38
Gabriella,female,1,660
Gabrielle,female,1,81
Gael,male,1,14
Gaia,female,1,26
Gaius,male,1,35
Galadriel,female,1,10
Galina,female,1,505
Gamal,male,1,11
Gani,male,1,13
Ganimete,female,1,10
Garita,female,1,28
Gary,male,1,45
Gaston,male,1,17
Gavin,male,1,16
Gazmend,male,1,11
Gea,female,1,59
Geir,male,1,19
Gemma,female,1,19
Genevieve,female,1,11
Gennadi,male,1,32
Gennadjevna,female,1,10
Gennady,male,1,11
Gentiana,female,1,11
Geoffrey,male,1,24
Georg,male,1,1345
George,male,1,355
Georges,male,1,53
Georgi,male,1,52
Georgia,female,1,26
Georgij,male,1,48
Georgina,female,1,54
Georgios,male,1,90
Georgy,male,1,18
Gerald,male,1,58
Geraldine,female,1,35
Gerard,male,1,30
Gérard,male,1,11
Gerd,female,0.963788300835655,359
Gerda,female,1,235
Gerhard,male,1,266
Gerli,female,1,11
German,male,1,30
Germund,male,1,12
Geronimo,male,1,11
Gert,male,1,54
Gertrud,female,1,362
Gertrude,female,1,12
Ghassan,male,1,16
Ghazi,male,1,12
Gheorghe,male,1,10
Ghita,female,1,117
Gholam,male,1,20
Ghulam,male,1,14
Gia,female,0.666666666666667,102
Giacomo,male,1,10
Giada,female,1,12
Gian,male,1,11
Giang,female,1,13
Gianluca,male,1,10
Gianni,male,1,11
Gideon,male,1,171
Giia,female,1,10
Gil,male,1,10
Gilbert,male,1,104
Gilda,female,1,21
Gillian,female,1,13
Gillis,male,1,11
Gina,female,1,80
Gino,male,1,13
Giorgio,male,1,13
Giovanna,female,1,27
Giovanni,male,1,67
Gisela,female,1,153
Gisella,female,1,32
Giselle,female,1,26
Gita,female,1,48
Githa,female,1,18
Gitta,female,1,88
Gitte,female,1,79
Giulia,female,1,31
Giulio,male,1,17
Giuseppe,male,1,52
Gladys,female,1,42
Gleb,male,1,28
Glen,male,1,64
Glenn,male,1,251
Gloria,female,1,103
Glory,female,1,18
Gökhan,male,1,12
Gonzalo,male,1,13
Goran,male,1,22
Göran,male,1,3406
Göransdotter,female,1,10
Göransson,male,1,19
Gordon,male,1,52
Görel,female,1,77
Gösta,male,1,732
Göta,female,1,430
Göte,male,1,84
Götha,female,1,11
Gottfrid,male,1,212
Gottfried,male,1,18
Gotthard,male,1,53
Gottlieb,male,1,16
Grace,female,1,242
Gracia,female,1,11
Graciela,female,1,11
Graham,male,1,23
Granit,male,1,12
Grant,male,1,18
Grazia,female,1,10
Graziella,female,1,11
Grazyna,female,1,16
Greeta,female,1,65
Greetta,female,1,129
Greger,male,1,249
Gregor,male,1,20
Gregori,male,1,10
Gregorio,male,1,15
Gregorius,male,1,35
Gregory,male,1,59
Grels,male,1,20
Gresa,female,1,19
Greta,female,1,1467
Gretchen,female,1,13
Grete,female,1,22
Gretel,female,1,453
Grethel,female,1,13
Grigori,male,1,50
Grigorjevna,female,1,10
Grigory,male,1,15
Gry,female,1,10
Guadalupe,female,1,13
Gudmund,male,1,19
Gudrun,female,1,240
Guennadi,male,1,10
Guido,male,1,55
Guillaume,male,1,12
Guillermo,male,1,29
Gul,female,1,11
Gül,female,1,13
Guldine,female,1,11
Guled,male,1,25
Gullan,female,1,26
Gullborg,female,1,10
Gullbritt,female,1,11
Gull-Britt,female,1,24
Gullevi,female,1,26
Gull-Maj,female,1,20
Gullveig,female,1,12
Gullvi,female,1,21
Gun,female,1,942
Gunborg,female,1,325
Gunbritt,female,1,45
Gun-Britt,female,1,429
Gunda,female,1,97
Gundborg,female,1,12
Gundel,female,1,55
Gunder,male,1,48
Gungerd,female,1,11
Gunhard,male,1,15
Gunhild,female,1,502
Gunilla,female,1,2273
Gunlis,female,1,53
Gun-Lis,female,1,116
Gunlög,female,1,77
Gun-Maj,female,1,139
Gun-Mari,female,1,23
Gun-Marie,female,1,39
Gun-May,female,1,39
Gunn,female,1,103
Gunnar,male,1,4525
Gunnari,male,1,71
Gunnarson,male,1,11
Gunnarsson,male,1,34
Gunn-Britt,female,1,103
Gunne,female,1,14
Gunnel,female,1,1112
Gunne-Maj,female,1,13
Gunnevi,female,1,254
Gunni,female,1,50
Gunni-Maj,female,1,12
Gunn-Lis,female,1,13
Gunn-Maj,female,1,17
Günter,male,1,18
Günther,male,1,21
Gunvald,male,1,22
Gunveig,female,1,43
Gunvi,female,1,32
Gun-Viol,female,1,37
Gunvor,female,1,1166
Gurli,female,1,270
Gustaava,female,1,19
Gustaf,male,1,1752
Gustav,male,1,4384
Gustava,female,1,77
Gustav-Adolf,male,1,10
Gustavo,male,1,37
Gusten,male,1,10
Guy,male,1,629
Guy-Erik,male,1,14
Gwen,female,1,14
Ha,female,1,71
Haakon,male,1,74
Habib,male,0.830985915492958,71
Habiba,female,1,31
Haci,male,1,11
Haddy,female,1,11
Hadi,male,0.852941176470588,68
Hafidh,male,1,10
Hafsa,female,1,73
Hagar,female,1,104
Hagi,male,1,17
Hai,male,0.731707317073171,82
Haidar,male,1,62
Haider,male,1,22
Haidi,female,1,10
Hailey,female,1,23
Haitham,male,1,14
Hajar,female,1,23
Haji,male,0.6,30
Hakan,male,1,46
Håkan,male,1,1873
Håkansdotter,female,1,14
Håkansson,male,1,13
Hakim,male,1,61
Hakon,male,1,51
Haley,female,1,11
Halil,male,1,33
Halim,male,1,11
Halima,female,1,65
Halimo,female,1,46
Halina,female,1,29
Halla,female,1,118
Halti,male,1,45
Halvar,male,1,13
Hamad,male,1,11
Hamda,female,1,13
Hamdi,female,0.771084337349398,83
Hamed,male,1,33
Hamid,male,0.844262295081967,122
Hamida,female,1,13
Hamilton,male,1,11
Hamish,male,1,13
Hampus,male,1,139
Hamsa,male,1,24
Hamse,male,1,19
Hamza,male,1,166
Hamzah,male,1,13
Hamze,male,1,12
Han,male,0.533333333333333,45
Hana,female,1,38
Hanaan,female,1,18
Hanad,male,1,29
Hanan,female,1,45
Hang,female,1,39
Hanh,female,1,36
Hani,female,0.770833333333333,96
Hanin,female,1,12
Hanna,female,1,24359
Hanna-Elina,female,1,43
Hanna-Elisa,female,1,11
Hanna-Emilia,female,1,13
Hannah,female,1,377
Hanna-Helena,female,1,19
Hanna-Kaarina,female,1,26
Hanna-Kaija,female,1,14
Hannakaisa,female,1,89
Hanna-Kaisa,female,1,893
Hanna-Karoliina,female,1,15
Hanna-Katariina,female,1,19
Hanna-Katri,female,1,19
Hanna-Katriina,female,1,11
Hanna-Laura,female,1,10
Hanna-Lea,female,1,14
Hannaleena,female,1,168
Hanna-Leena,female,1,1294
Hanna-Lena,female,1,18
Hannaliisa,female,1,40
Hanna-Liisa,female,1,294
Hanna-Lotta,female,1,18
Hanna-Maaria,female,1,64
Hanna-Maarit,female,1,63
Hannamaija,female,1,46
Hanna-Maija,female,1,393
Hannamari,female,1,446
Hanna-Mari,female,1,1268
Hannamaria,female,1,54
Hanna-Maria,female,1,685
Hanna-Marie,female,1,10
Hanna-Marika,female,1,20
Hanna-Marja,female,1,41
Hanna-Pauliina,female,1,15
Hanna-Reeta,female,1,17
Hanna-Reetta,female,1,81
Hannariikka,female,1,28
Hanna-Riikka,female,1,291
Hannariina,female,1,15
Hanna-Riina,female,1,33
Hanna-Riitta,female,1,98
Hanna-Sisko,female,1,14
Hanna-Sofia,female,1,34
Hannastiina,female,1,13
Hanna-Stiina,female,1,11
Hanna-Tuulia,female,1,13
Hanne,female,0.988872762457668,2067
Hannele,female,1,86891
Hanne-Leena,female,1,15
Hanneli,female,1,476
Hannelore,female,1,27
Hanne-Maaria,female,1,11
Hanne-Maarit,female,1,29
Hannemari,female,1,36
Hanne-Mari,female,1,143
Hanne-Maria,female,1,54
Hanne-Marie,female,1,13
Hanne-Riikka,female,1,10
Hannes,male,1,3524
Hanni,female,1,279
Hannika,female,1,10
Hanni-Mari,female,1,10
Hanno,male,1,78
Hannu,male,1,35578
Hannu-Heikki,male,1,20
Hannu-Matti,male,1,39
Hannunpoika,male,1,284
Hannuntytär,female,1,87
Hannu-Pekka,male,1,303
Hannu-Tapio,male,1,10
Hans,male,1,3835
Hans-Christian,male,1,15
Hansdotter,female,1,13
Hans-Erik,male,1,152
Hans-Göran,male,1,21
Hans-Henrik,male,1,13
Hansi,male,1,14
Hans-Olof,male,1,28
Hans-Peter,male,1,43
Hany,male,1,16
Hao,male,1,33
Harald,male,1,1322
Harding,male,1,17
Hardy,male,1,45
Hari,male,1,17
Haris,male,1,37
Harley,male,1,21
Harold,male,1,48
Haron,male,1,13
Haroun,male,1,11
Harras,male,1,89
Harri,male,1,22585
Harriet,female,1,1646
Harriette,female,1,21
Harrinpoika,male,1,173
Harrintytär,female,1,41
Harri-Pekka,male,1,70
Harris,male,1,11
Harrison,male,1,39
Harro,male,1,14
Harry,male,1,3445
Harto,male,1,145
Hartti,male,1,40
Hartvig,male,1,10
Harun,male,1,31
Hasan,male,0.896039603960396,202
Hashem,male,1,13
Hashi,male,0.59375,32
Hashim,male,0.793650793650794,63
Hassan,male,0.669914738124239,821
Hasse,male,1,110
Hassen,male,1,19
Hatem,male,1,20
Hatice,female,1,29
Hava,female,1,14
Havanna,female,1,12
Havin,female,1,15
Havina,female,1,10
Havu,male,1,50
Hawa,female,1,38
Hawo,female,1,36
Hayat,female,1,12
Haydar,male,1,16
Hayden,male,1,12
Hayder,male,1,12
Hayley,female,1,19
Hazal,female,1,10
Hazel,female,1,29
Heather,female,1,31
Heba,female,1,10
Hebe,female,1,16
Hector,male,1,54
Hedda,female,1,113
Heddy,female,1,14
Hedi,male,0.555555555555556,27
Hedvig,female,1,436
Hedwig,female,1,21
Hedy,female,1,13
Heelmä,female,1,11
Heide,female,1,10
Heidi,female,1,23903
Heidi-Hannele,female,1,10
Heidi-Johanna,female,1,10
Heidi-Maaria,female,1,16
Heidi-Maarit,female,1,17
Heidi-Mari,female,1,21
Heidi-Maria,female,1,226
Heidi-Marie,female,1,10
Heidi-Marika,female,1,13
Heidi-Marja,female,1,12
Heidi-Susanna,female,1,13
Heidy,female,1,11
Heikinpoika,male,1,347
Heikintytär,female,1,98
Heikka,male,1,13
Heikki,male,1,54256
Heikki-Juhani,male,1,22
Heikki-Jussi,male,1,10
Heikki-Matti,male,1,15
Heikki-Pekka,male,1,33
Heikki-Tapio,male,1,15
Heile,female,1,10
Heili,female,1,45
Heilimä,female,1,15
Heimer,male,1,69
Heimo,male,1,4193
Heine,female,1,21
Heiner,male,1,14
Heini,female,1,3826
Heinikki,female,1,57
Heini-Maaria,female,1,10
Heini-Maria,female,1,47
Heini-Marja,female,1,12
Heino,male,1,1661
Heinrich,male,1,92
Heinz,male,1,55
Hektor,male,1,26
Heldine,female,1,50
Hele,female,1,84
Helea,female,1,27
Heleena,female,1,4373
Helen,female,1,1343
Helén,female,1,152
Helena,female,1,127508
Heléna,female,1,15
Helene,female,1,1504
Heléne,female,1,80
Hélène,female,1,62
Heleni,female,1,18
Helfrid,female,1,48
Helga,female,1,2121
Helge,male,1,1860
Heli,female,1,16736
Helia,female,1,13
Heliä,female,1,31
Helianna,female,1,40
Heli-Johanna,female,1,11
Heli-Maaria,female,1,11
Heli-Maarit,female,1,25
Heli-Maija,female,1,23
Heli-Maria,female,1,37
Heli-Marja,female,1,28
Helin,female,1,71
Helina,female,1,29
Helinä,female,1,9695
Heline,female,1,22
Heli-Riitta,female,1,14
Heli-Sisko,female,1,10
Helja,female,1,14
Heljä,female,1,1924
Heljo,male,1,24
Helka,female,1,2563
Helka-Maria,female,1,10
Helke,male,1,41
Helkky,female,1,88
Helky,female,1,39
Hella,female,1,20
Hellä,female,1,663
Helle,female,1,249
Helleka,female,1,12
Hellen,female,1,419
Helleni,female,1,20
Hellevi,female,1,11063
Helli,female,1,2194
Hellikki,female,1,295
Hellin,female,1,2134
Helly,female,1,116
Helma,female,1,17
Helme,female,1,15
Helmer,male,1,1033
Helmeri,male,1,465
Helmi,female,1,16912
Helmi-Elisa,female,1,10
Helmiida,female,1,11
Helmi-Ilona,female,1,11
Helmiina,female,1,2603
Helmililja,female,1,11
Helmi-Lilja,female,1,11
Helmi-Lotta,female,1,17
Helmi-Maria,female,1,67
Helmina,female,1,33
Helmi-Riitta,female,1,14
Helmi-Sofia,female,1,31
Helmut,male,1,49
Helmuth,male,1,17
Helny,female,1,35
Heloisa,female,1,121
Heloise,female,1,10
Helpi,female,1,56
Helve,female,1,11
Helvi,female,1,7073
Hely,female,1,1363
Hemi,male,1,20
Hemmi,male,1,280
Hemming,male,1,431
Hemminki,male,1,424
Hemmo,male,1,782
Hendrik,male,1,122
Hendrika,female,1,15
Hendry,male,1,32
Henja,female,1,10
Henje,female,1,11
Henkka,male,1,13
Henna,female,1,11350
Henna-Emilia,female,1,14
Henna-Kaisa,female,1,43
Henna-Leena,female,1,45
Henna-Liisa,female,1,27
